id_linea,nombre_linea,modo,id_ramal,nombre_ramal,ramal,provincia,municipio,id_linea_agg,nombre_linea_agg
48,LINEA 39,COL,48,039B,CHACARITA (CIUDAD AUTONOMA DE BUENOS AIRES) - BARRACAS (CIUDAD AUTONOMA DE BUENOS AIRES) (por COLEGIALES),JN,JN,,
48,LINEA 39,COL,48,039C,CHACARITA (CIUDAD AUTONOMA DE BUENOS AIRES) - BARRACAS (CIUDAD AUTONOMA DE BUENOS AIRES) (por PALERMO VIEJO),JN,JN,,
48,LINEA 39,COL,48,039D,CHACARITA (CIUDAD AUTONOMA DE BUENOS AIRES) - PLAZA DE LA CONSTITUCION (CIUDAD AUTONOMA DE BUENOS AIRES),JN,JN,,
48,LINEA 39,COL,48,039E,CHACARITA (CIUDAD AUTONOMA DE BUENOS AIRES) - PLAZA DE LA CONSTITUCION (CIUDAD AUTONOMA DE BUENOS AIRES) (por COLEGIALES),JN,JN,,
48,LINEA 39,COL,48,039F,CHACARITA (CIUDAD AUTONOMA DE BUENOS AIRES) - PLAZA DE LA CONSTITUCION (CIUDAD AUTONOMA DE BUENOS AIRES)  (por PALERMO VIEJO),JN,JN,,
50,LINEA 102,COL,50,102A,AV PATRICIOS Y ROCHA-CASARES Y GELLY,JN,JN,,
51,LINEA OESTE,COL,51,OE-RN,OESTE RONDIN,BUENOS AIRES,LA PLATA,,
51,LINEA OESTE,COL,51,OE10,ZONA OESTE-RAMAL 10,BUENOS AIRES,LA PLATA,,
51,LINEA OESTE,COL,51,OE11,RAMAL 11,BUENOS AIRES,LA PLATA,,
51,LINEA OESTE,COL,51,OE14,RAMAL 14,BUENOS AIRES,LA PLATA,,
51,LINEA OESTE,COL,51,OE15,RAMAL 15,BUENOS AIRES,LA PLATA,,
51,LINEA OESTE,COL,51,OE16,RAMAL 16,BUENOS AIRES,LA PLATA,,
51,LINEA OESTE,COL,51,OE16V,RAMAL 16(V),BUENOS AIRES,LA PLATA,,
51,LINEA OESTE,COL,51,OE17,RAMAL 17,BUENOS AIRES,LA PLATA,,
51,LINEA OESTE,COL,51,OE18,RAMAL 18,BUENOS AIRES,LA PLATA,,
51,LINEA OESTE,COL,51,OE19,RAMAL 19,BUENOS AIRES,LA PLATA,,
51,LINEA OESTE,COL,51,OE22,RAMAL 22,BUENOS AIRES,LA PLATA,,
51,LINEA OESTE,COL,51,OE23,RAMAL 23,BUENOS AIRES,LA PLATA,,
